country_code,country_name,time_period,value,dataset
CZ,Czechia,2020-S1,0.1321,electricity_prices
CZ,Czechia,2020-S2,0.1283,electricity_prices
CZ,Czechia,2021-S1,0.1284,electricity_prices
CZ,Czechia,2021-S2,0.1498,electricity_prices
CZ,Czechia,2022-S1,0.1879,electricity_prices
CZ,Czechia,2022-S2,0.2077,electricity_prices
CZ,Czechia,2023-S1,0.2624,electricity_prices
CZ,Czechia,2023-S2,0.2582,electricity_prices
CZ,Czechia,2024-S1,0.2574,electricity_prices
CZ,Czechia,2024-S2,0.2511,electricity_prices
DE,Germany,2020-S1,0.143,electricity_prices
DE,Germany,2020-S2,0.1451,electricity_prices
DE,Germany,2021-S1,0.1562,electricity_prices
DE,Germany,2021-S2,0.1596,electricity_prices
DE,Germany,2022-S1,0.1899,electricity_prices
DE,Germany,2022-S2,0.2333,electricity_prices
DE,Germany,2023-S1,0.2973,electricity_prices
DE,Germany,2023-S2,0.2882,electricity_prices
DE,Germany,2024-S1,0.2806,electricity_prices
DE,Germany,2024-S2,0.2797,electricity_prices
ES,Spain,2020-S1,0.1178,electricity_prices
ES,Spain,2020-S2,0.126,electricity_prices
ES,Spain,2021-S1,0.1358,electricity_prices
ES,Spain,2021-S2,0.1878,electricity_prices
ES,Spain,2022-S1,0.2579,electricity_prices
ES,Spain,2022-S2,0.2966,electricity_prices
ES,Spain,2023-S1,0.2165,electricity_prices
ES,Spain,2023-S2,0.2068,electricity_prices
ES,Spain,2024-S1,0.1841,electricity_prices
ES,Spain,2024-S2,0.1882,electricity_prices
FR,France,2020-S1,0.1242,electricity_prices
FR,France,2020-S2,0.1292,electricity_prices
FR,France,2021-S1,0.1289,electricity_prices
FR,France,2021-S2,0.1356,electricity_prices
FR,France,2022-S1,0.1566,electricity_prices
FR,France,2022-S2,0.1723,electricity_prices
FR,France,2023-S1,0.1893,electricity_prices
FR,France,2023-S2,0.2161,electricity_prices
FR,France,2024-S1,0.2219,electricity_prices
FR,France,2024-S2,0.2223,electricity_prices
HU,Hungary,2020-S1,0.0812,electricity_prices
HU,Hungary,2020-S2,0.0794,electricity_prices
HU,Hungary,2021-S1,0.0795,electricity_prices
HU,Hungary,2021-S2,0.079,electricity_prices
HU,Hungary,2022-S1,0.0746,electricity_prices
HU,Hungary,2022-S2,0.0853,electricity_prices
HU,Hungary,2023-S1,0.0911,electricity_prices
HU,Hungary,2023-S2,0.0891,electricity_prices
HU,Hungary,2024-S1,0.0861,electricity_prices
HU,Hungary,2024-S2,0.0812,electricity_prices
IT,Italy,2020-S1,0.1382,electricity_prices
IT,Italy,2020-S2,0.1331,electricity_prices
IT,Italy,2021-S1,0.1432,electricity_prices
IT,Italy,2021-S2,0.176,electricity_prices
IT,Italy,2022-S1,0.2671,electricity_prices
IT,Italy,2022-S2,0.3192,electricity_prices
IT,Italy,2023-S1,0.323,electricity_prices
IT,Italy,2023-S2,0.2565,electricity_prices
IT,Italy,2024-S1,0.2451,electricity_prices
IT,Italy,2024-S2,0.2232,electricity_prices
PL,Poland,2020-S1,0.0926,electricity_prices
PL,Poland,2020-S2,0.0953,electricity_prices
PL,Poland,2021-S1,0.0921,electricity_prices
PL,Poland,2021-S2,0.0882,electricity_prices
PL,Poland,2022-S1,0.0912,electricity_prices
PL,Poland,2022-S2,0.1003,electricity_prices
PL,Poland,2023-S1,0.0918,electricity_prices
PL,Poland,2023-S2,0.1164,electricity_prices
PL,Poland,2024-S1,0.1035,electricity_prices
PL,Poland,2024-S2,0.1399,electricity_prices
SK,Slovakia,2020-S1,0.1074,electricity_prices
SK,Slovakia,2020-S2,0.1106,electricity_prices
SK,Slovakia,2021-S1,0.1057,electricity_prices
SK,Slovakia,2021-S2,0.102,electricity_prices
SK,Slovakia,2022-S1,0.1242,electricity_prices
SK,Slovakia,2022-S2,0.1315,electricity_prices
SK,Slovakia,2023-S1,0.1322,electricity_prices
SK,Slovakia,2023-S2,0.123,electricity_prices
SK,Slovakia,2024-S1,0.125,electricity_prices
SK,Slovakia,2024-S2,0.122,electricity_prices
